2024-02-27 19:33:09.226 [info] Log level: Info
2024-02-27 19:33:09.226 [info] Validating found git in: "git"
2024-02-27 19:33:09.226 [info] Using git "2.39.2" from "git"
2024-02-27 19:33:09.226 [info] > git rev-parse --show-toplevel [20ms]
2024-02-27 19:33:09.226 [info] > git rev-parse --show-toplevel [19ms]
2024-02-27 19:33:09.302 [info] > git rev-parse --show-toplevel [15ms]
2024-02-27 19:33:09.340 [info] > git rev-parse --show-toplevel [4ms]
2024-02-27 19:33:09.420 [info] > git rev-parse --show-toplevel [14ms]
2024-02-27 19:33:10.331 [info] > git rev-parse --show-toplevel [846ms]
2024-02-27 19:33:13.733 [info] > git rev-parse --show-toplevel [4ms]
2024-02-27 19:33:15.239 [info] > git rev-parse --show-toplevel [66ms]
2024-02-27 19:33:16.002 [info] > git rev-parse --show-toplevel [16ms]
2024-02-27 19:33:16.478 [info] > git rev-parse --show-toplevel [3ms]
2024-02-27 19:35:32.012 [info] > git rev-parse --show-toplevel [6ms]
2024-02-27 19:35:37.373 [info] > git rev-parse --show-toplevel [10ms]
2024-02-27 19:35:37.935 [info] > git rev-parse --show-toplevel [6ms]
2024-02-27 19:35:41.654 [info] > git rev-parse --show-toplevel [10ms]
2024-02-27 19:35:49.763 [info] > git rev-parse --show-toplevel [20ms]
2024-02-27 19:35:52.501 [info] > git rev-parse --show-toplevel [8ms]
2024-02-27 19:36:12.821 [info] > git rev-parse --show-toplevel [7ms]
2024-02-27 19:36:14.520 [info] > git rev-parse --show-toplevel [20ms]
2024-02-27 19:36:29.221 [info] > git rev-parse --show-toplevel [17ms]
2024-02-27 19:36:29.915 [info] > git rev-parse --show-toplevel [14ms]
2024-02-27 19:36:30.926 [info] > git rev-parse --show-toplevel [16ms]
2024-02-27 19:38:05.180 [info] > git rev-parse --show-toplevel [20ms]
2024-02-27 19:38:27.540 [info] > git rev-parse --show-toplevel [6ms]
2024-02-27 19:38:28.096 [info] > git rev-parse --show-toplevel [14ms]
2024-02-27 19:38:35.193 [info] > git rev-parse --show-toplevel [11ms]
2024-02-27 19:42:36.898 [info] > git rev-parse --show-toplevel [11ms]
2024-02-27 19:43:52.607 [info] > git rev-parse --show-toplevel [5ms]
2024-02-27 19:43:55.823 [info] > git rev-parse --show-toplevel [13ms]
2024-02-27 19:46:33.572 [info] > git rev-parse --show-toplevel [5ms]
2024-02-27 19:51:23.391 [info] > git rev-parse --show-toplevel [89ms]
2024-02-27 19:51:53.981 [info] > git rev-parse --show-toplevel [4ms]
2024-02-27 19:51:57.707 [info] > git rev-parse --show-toplevel [12ms]
2024-02-27 19:54:39.378 [info] > git rev-parse --show-toplevel [12ms]
2024-02-27 19:57:47.925 [info] > git rev-parse --show-toplevel [10ms]
2024-02-27 19:59:31.642 [info] > git rev-parse --show-toplevel [33ms]
2024-02-27 19:59:35.957 [info] > git rev-parse --show-toplevel [13ms]
